name,region_name
Vila Verde,Braga
Velas,Açores
São Brás de Alportel,Faro
Vila Nova da Barquinha,Santarém
Vila Franca de Xira,Lisboa
Vinhais,Bragança
Monção,Viana do Castelo
Braga,Braga
Vila Nova de Gaia,Porto
Viana do Alentejo,Évora
Arcos de Valdevez,Viana do Castelo
Vila Nova de Cerveira,Viana do Castelo
Guarda,Guarda
Arouca,Aveiro
Vale de Cambra,Aveiro
Barreiro,Setúbal
Grândola,Setúbal
Bragança,Bragança
Tavira,Faro
Alijó,Vila Real
Golegã,Santarém
Porto Santo,Madeira
Ribeira de Pena,Vila Real
Marco de Canaveses,Porto
Almodôvar,Beja
Alenquer,Lisboa
Amarante,Porto
Castelo Branco,Castelo Branco
Manteigas,Guarda
Lousada,Porto
São João da Madeira,Aveiro
Benavente,Santarém
Oeiras,Lisboa
Porto Moniz,Madeira
Proença-a-Nova,Castelo Branco
Odivelas,Lisboa
Lamego,Viseu
Lisboa,Lisboa
Lajes das Flores,Açores
Funchal,Madeira
Torre de Moncorvo,Bragança
Armamar,Viseu
Cantanhede,Coimbra
Marvão,Portalegre
Entroncamento,Santarém
Porto de Mós,Leiria
Vendas Novas,Évora
Pedrógão Grande,Leiria
Maia,Porto
Castelo de Vide,Portalegre
Fafe,Braga
Sines,Setúbal
Barcelos,Braga
Olhão,Faro
Penafiel,Porto
Ourique,Beja
Portimão,Faro
Marinha Grande,Leiria
Santa Cruz,Madeira
Santa Cruz das Flores,Açores
Arronches,Portalegre
Monforte,Portalegre
Vila Velha de Ródão,Castelo Branco
Mesão Frio,Vila Real
Penacova,Coimbra
Santa Comba Dão,Viseu
Vouzela,Viseu
Serpa,Beja
Mogadouro,Bragança
Oliveira do Hospital,Coimbra
Arraiolos,Évora
Lagoa,Faro
Peso da Régua,Vila Real
Santarém,Santarém
Vila Nova de Poiares,Coimbra
Vizela,Braga
Coruche,Santarém
Reguengos de Monsaraz,Évora
Figueira da Foz,Coimbra
Ansião,Leiria
São Vicente,Madeira
Sousel,Portalegre
Sobral de Monte Agraço,Lisboa
Mangualde,Viseu
Freixo de Espada à Cinta,Bragança
Valongo,Porto
Gondomar,Porto
Murtosa,Aveiro
Montemor-o-Novo,Évora
Alandroal,Évora
Nelas,Viseu
Ferreira do Zêzere,Santarém
Valpaços,Vila Real
Arganil,Coimbra
Idanha-a-Nova,Castelo Branco
Albufeira,Faro
Vila Franca do Campo,Açores
Estarreja,Aveiro
Amares,Braga
Penedono,Viseu
Madalena,Açores
Palmela,Setúbal
Alfândega da Fé,Bragança
Monchique,Faro
Santa Marta de Penaguião,Vila Real
Alcochete,Setúbal
Alvito,Beja
Lousã,Coimbra
Mira,Coimbra
Sesimbra,Setúbal
Ponte da Barca,Viana do Castelo
Boticas,Vila Real
Paredes,Porto
Alpiarça,Santarém
Nordeste,Açores
Silves,Faro
Seixal,Setúbal
Pampilhosa da Serra,Coimbra
Leiria,Leiria
Vila Real,Vila Real
Alcanena,Santarém
Tondela,Viseu
Alcoutim,Faro
Oleiros,Castelo Branco
Almeirim,Santarém
Cartaxo,Santarém
Figueiró dos Vinhos,Leiria
Fronteira,Portalegre
Soure,Coimbra
Montemor-o-Velho,Coimbra
Vila Nova de Paiva,Viseu
Póvoa de Varzim,Porto
Vila Flor,Bragança
Vila do Porto,Açores
Sertã,Castelo Branco
Terras de Bouro,Braga
Salvaterra de Magos,Santarém
Horta,Açores
Ílhavo,Aveiro
Moimenta da Beira,Viseu
Trofa,Porto
Vagos,Aveiro
