municipality,pop,area
Lisboa,575739,100.05
Sintra,400947,319.23
Vila Nova de Gaia,312984,168.46
Porto,252687,41.42
Cascais,222339,97.40
Loures,209877,167.24
Braga,203519,183.40
Almada,183643,70.21
Amadora,181607,23.78
Matosinhos,181046,62.42
Oeiras,177866,45.88
Seixal,176883,95.50
Gondomar,169388,131.86
Guimarães,156513,240.95
Odivelas,156278,26.54
Coimbra,146899,319.40
Maia,144664,82.99
Vila Franca de Xira,140711,318.19
Santa Maria da Feira,140568,215.88
Vila Nova de Famalicão,136704,201.59
Leiria,136006,565.09
Setúbal,124339,230.33
Barcelos,116959,378.90
Funchal,108129,76.14
Viseu,103502,507.10
Valongo,101464,75.12
Mafra,91248,291.66
Torres Vedras,89526,407.15
Aveiro,88154,197.58
Viana do Castelo,86975,319.02
Paredes,86560,156.76
Vila do Conde,85871,149.03
Barreiro,81131,36.39
Loulé,75764,763.67
Palmela,74462,465.12
Penafiel,70421,212.24
Moita,70399,55.26
Faro,70347,202.57
Ponta Delgada,69038,232.99
Póvoa de Varzim,68459,82.21
Santo Tirso,67713,136.60
Oliveira de Azeméis,67471,161.10
Portimão,64466,182.06
Santarém,61664,552.54
Figueira da Foz,61397,379.05
Montijo,60612,348.62
Alcobaça,57973,408.14
Ovar,57680,147.70
Sesimbra,56576,195.47
Paços de Ferreira,56071,70.99
Felgueiras,55223,115.74
Caldas da Rainha,55206,255.69
Évora,53908,1307.08
Castelo Branco,53342,1438.19
Pombal,52573,626.00
Amarante,52169,301.33
Vila Real,50043,378.80
Marco de Canaveses,49501,201.89
Alenquer,49474,304.22
Albufeira,48807,140.66
Vila Verde,48701,228.67
Lousada,48652,96.08
Fafe,48420,219.08
Águeda,47727,335.27
Ourém,46988,416.68
Covilhã,46606,555.60
Olhão,45452,130.86
Santa Cruz,44816,81.50
Ílhavo,43210,73.48
Marinha Grande,41773,187.25
Ponte de Lima,41066,320.25
Silves,40309,680.06
Trofa,40294,72.02
Guarda,40046,712.10
Esposende,37722,95.41
Chaves,32322,591.23
Tomar,37039,351.20
Bragança,35581,1173.57
Cantanhede,35399,390.88
Lagos,35241,212.99
Torres Novas,34986,270.00
Beja,33954,1146.44
Odemira,33866,1720.60
Abrantes,33770,714.69
Angra do Heroísmo,33701,239.00
Câmara de Lobos,33243,52.14
Benavente,33131,521.38
Espinho,32736,21.06
Ribeira Grande,32397,180.15
Lourinhã,28978,147.17
Anadia,28512,216.63
Santiago do Cacém,28294,1059.69
Tavira,28280,606.97
Peniche,27792,77.55
Estarreja,27474,108.17
Fundão,27285,700.20
Albergaria-a-Velha,26171,158.83
Tondela,25957,371.22
Oliveira do Bairro,25779,87.32
Lagoa,25535,88.25
Vagos,25167,164.92
Montemor-o-Velho,25131,228.96
Cartaxo,24711,158.17
Vizela,24688,24.70
Porto de Mós,24310,261.83
São João da Madeira,24247,7.94
Lamego,24037,165.42
Salvaterra de Magos,23827,243.93
Azambuja,23448,262.66
Almeirim,23087,222.12
Póvoa de Lanhoso,22931,134.65
Rio Maior,22678,272.76
Entroncamento,22604,13.73
Portalegre,21754,447.14
Seia,21410,435.69
Mirandela,21344,658.96
Vale de Cambra,21239,147.33
Arouca,20826,329.11
Arcos de Valdevez,20819,447.60
Alcochete,20462,128.36
Elvas,20325,631.29
Mealhada,20023,110.66
Vila da Praia da Vitória,19862,161.27
Amares,19782,81.95
Machico,19679,68.33
Oliveira do Hospital,19610,234.52
Vila Real de Santo António,19546,61.25
Mangualde,18766,219.26
Monção,18004,211.31
Condeixa-a-Nova,17882,138.67
Lousã,17662,138.40
Celorico de Basto,17637,181.07
Soure,17302,265.06
Coruche,17298,1115.72
Cinfães,17293,239.29
Baião,17088,174.53
Batalha,16894,103.42
Caminha,16604,136.52
Montemor-o-Novo,15912,1232.97
Nazaré,15856,82.43
Arruda dos Vinhos,15752,77.96
Cabeceiras de Basto,15538,241.82
Castelo de Paiva,15395,115.01
São Pedro do Sul,15296,348.95
Lagoa (Açores),15130,45.59
Ponte de Sor,15123,839.71
Sertã,14983,446.73
Sines,14796,203.30
Cadaval,14711,174.89
Valpaços,14532,548.74
Horta,14466,173.06
Valença,14297,117.13
Peso da Régua,14275,94.86
Bombarral,14272,91.29
Macedo de Cavaleiros,14253,699.14
Grândola,14226,825.94
Castro daire,13790,379.04
Óbidos,13720,141.55
Serpa,13673,1105.63
Nelas,13508,125.71
Moura,13331,958.46
Ribeira Brava,13322,65.41
Penacova,12951,216.73
Alcanena,12876,127.33
Mira,12720,124.03
Estremoz,12482,513.80
Gouveia,12301,300.61
Miranda do Corvo,12269,126.38
Sobral de Monte Agraço,12214,52.10
Vieira do Minho,12067,216.44
Ansião,11930,176.09
Vila Pouca de Aguiar,11819,437.07
