Dataset,Accuracy,Precision,Recall,F1,AUC
banknote-authentication_v1_d1462,0.9927113470471134,0.9935739837398373,0.9901639344262294,0.991788959286327,0.9999030745458954
blood-transfusion-service-center_v1_d1464,0.7767427293064877,0.5494987468671679,0.3201587301587302,0.4008403361344538,0.7261758563074352
breast-w_v1_d15,0.9627852004110997,0.9424761393919269,0.9502551020408164,0.9461269504595604,0.9923473653675516
churn_v1_d40701,0.958,0.9412433544142689,0.7497552692038758,0.8342303908439339,0.922021633030193
credit-approval_v1_d29,0.8666666666666666,0.881220191380414,0.8796992481203008,0.879521638352944,0.9328238629360286
credit-g_v1_d31,0.7609999999999999,0.7953721189043722,0.8871428571428572,0.8386770987413069,0.7818095238095237
cylinder-bands_v2_d6332,0.8222222222222222,0.8156987939596634,0.8976958525345623,0.853637023112103,0.9103413799159474
diabetes_v1_d37,0.7512520159578984,0.6616364876258493,0.5932215234102027,0.6249480081446135,0.8199231306778477
dresses-sales_v2_d23381,0.5780000000000001,0.4954617330803289,0.39047619047619053,0.4328399457957984,0.5607553366174056
ilpd_v1_d1480,0.6930592396109637,0.45417864923747275,0.33600713012477723,0.3827183212267958,0.7355153233253872
jm1_v1_d1053,0.8139641708773542,0.5807184069567809,0.14007947675923946,0.22564099422493386,0.7388739219951395
kc1_v1_d1067,0.8586957255912914,0.6240456026812848,0.2423776223776224,0.34518588686880447,0.8099968279132191
kc2_v1_d1063,0.8314468864468865,0.6270702981229297,0.49350649350649345,0.540330746489283,0.7904892296458562
kr-vs-kp_v1_d3,0.9912402190923316,0.9927926954937455,0.9904155652658648,0.9915978826326344,0.9994624496285975
ozone-level-8hr_v1_d1487,0.9455410809925858,0.6647619047619047,0.28125,0.395033405283174,0.9180053852986898
pc1_v1_d1068,0.9323794382617911,0.525,0.2475,0.3307660455486542,0.8505261244782141
pc3_v1_d1050,0.8899504382731219,0.40005439005439003,0.1625,0.22898204637739522,0.8382012582613116
pc4_v1_d1049,0.9101515793437839,0.683264405845051,0.49428571428571433,0.571519146345749,0.9451711309523809
PhishingWebsites_v1_d4534,0.9587516960651289,0.9556266372466313,0.9710893898952386,0.9632723149001322,0.9936797108330214
phoneme_v1_d1489,0.8821259464830232,0.8068565055306733,0.7875027280122215,0.7968465455042707,0.940949435782924
qsar-biodeg_v1_d1494,0.875829383886256,0.8444938363344436,0.7752738654147104,0.8082245822421872,0.9362994312799258
sick_v1_d38,0.9835645651448346,0.8846139863998571,0.8441258094357076,0.8627593498083785,0.993855126776847
spambase_v1_d44,0.9469690317707595,0.9445241383432906,0.9194633426175365,0.9317716341334498,0.9865484924925898
wdbc_v1_d1510,0.9595870206489675,0.9661344211344212,0.9248062015503876,0.9435656987852609,0.9915403705610061
wilt_v2_d40983,0.9847083935149179,0.8883788987293031,0.8201741654571844,0.8519791495244622,0.9904410564075411
