Dataset,Accuracy,Precision,Recall,F1,AUC
banknote-authentication_v1_d1462,0.9927113470471134,0.9935739837398373,0.9901639344262294,0.991788959286327,0.9999245038826574
blood-transfusion-service-center_v1_d1464,0.7794362416107383,0.566706662902315,0.3425396825396825,0.417937988988699,0.7266631857421333
breast-w_v1_d15,0.968530318602261,0.9434121648659464,0.9668367346938777,0.954846540303094,0.9928016960487014
churn_v1_d40701,0.959,0.9282591225810138,0.7695435021476376,0.8412610960770639,0.9244617400909799
credit-approval_v1_d29,0.8666666666666666,0.8856700472523258,0.8745044429254956,0.878910248873134,0.9332914337186653
credit-g_v1_d31,0.767,0.801348126169172,0.8871428571428572,0.8419633861596827,0.7770952380952382
cylinder-bands_v2_d6332,0.8185185185185186,0.810055539309453,0.8977470558115719,0.8508521110900384,0.9068371711055209
diabetes_v1_d37,0.7499702911467618,0.6564010087392291,0.6007686932215235,0.6258443138225045,0.8107274633123689
dresses-sales_v2_d23381,0.582,0.49744502567083215,0.4238095238095238,0.4552309357485059,0.5522988505747126
ilpd_v1_d1480,0.6793398172708518,0.4138770858770859,0.32388591800356503,0.35720890278101064,0.7306657748897295
jm1_v1_d1053,0.8142397795130915,0.5703259220388499,0.16429061926579686,0.25496400398239066,0.7419531742961715
kc1_v1_d1067,0.8549076335963797,0.5774458653026429,0.24848484848484848,0.34482248224822487,0.8080847644314268
kc2_v1_d1063,0.8391391941391941,0.6508669108669108,0.5216450216450216,0.566454278404766,0.787302456579565
kr-vs-kp_v1_d3,0.991239241001565,0.9927927279914333,0.9904137670604737,0.9915987830833097,0.9994603607778801
ozone-level-8hr_v1_d1487,0.9463292560282527,0.7025252525252526,0.28125,0.39833343829187473,0.9160303964023985
pc1_v1_d1068,0.9314785373608903,0.5174242424242423,0.26083333333333336,0.32928456406717277,0.8431417577349404
pc3_v1_d1050,0.8880335053657739,0.4130908584169454,0.19375,0.25974041325105157,0.8335967685561769
pc4_v1_d1049,0.9087793626135667,0.6711667861124384,0.4996825396825397,0.5712399272880436,0.9434108382936508
PhishingWebsites_v1_d4534,0.9588421528720037,0.9556200316261416,0.9712527825545697,0.9633565654841817,0.9938819705079585
phoneme_v1_d1489,0.886012265734745,0.8161506775917868,0.7906573021447136,0.8027244036015967,0.9428795548380149
qsar-biodeg_v1_d1494,0.872037914691943,0.831823419666374,0.7780907668231611,0.8039935587761675,0.933500873345589
sick_v1_d38,0.9843596184587279,0.904167063469389,0.8355226641998149,0.867398823701965,0.9940697397328027
spambase_v1_d44,0.9502296652976444,0.9439970837116819,0.9288403878057319,0.9362957184744168,0.9869191058646521
wdbc_v1_d1510,0.9648657040832168,0.9715347276322888,0.93421926910299,0.9512233698225139,0.9926546791515675
wilt_v2_d40983,0.9842951703744219,0.8936000919023176,0.804789550072569,0.8463793872947825,0.989989015174696
